Модель,Accuracy_порог_0_5,Precision_порог_0_5,Recall_порог_0_5,F1_порог_0_5,ROC_AUC,Лучший_порог,Accuracy_лучший_порог,Precision_лучший_порог,Recall_лучший_порог,F1_лучший_порог
Logistic Regression,0.6625,0.1856368563685637,0.6492890995260664,0.28872497365648053,0.7158835325938662,0.63,0.791,0.23929471032745592,0.45023696682464454,0.3125
GradientBoostingClassifier,0.897,0.6923076923076923,0.04265402843601896,0.08035714285714286,0.7012946415562191,0.14,0.768,0.22559652928416485,0.4928909952606635,0.30952380952380953
RandomForestClassifier,0.8495,0.24431818181818182,0.2037914691943128,0.2222222222222222,0.6939061510706556,0.42,0.7845,0.23557692307692307,0.46445497630331756,0.31259968102073366
LightGBMClassifier,0.7585,0.21548117154811716,0.4881516587677725,0.29898403483309144,0.6890449534941017,0.55,0.802,0.24795640326975477,0.4312796208530806,0.314878892733564
BaggingClassifier,0.895,0.6666666666666666,0.009478672985781991,0.018691588785046728,0.6819293258697835,0.13,0.7385,0.2,0.4928909952606635,0.28454172366621067
